id;title;original_language;release_date;popularity;vote_average;runtime;genre_names;;;
305;Van Helsing: The London Assignment;en;11/05/2004;24.355;6.4;30;Action, Animation, Fantasy, Horror;;;
306;Van Helsing;en;05/05/2004;50.495;6.3;132;Action, Adventure, Horror;;;
307;Deadly Obsession;en;;;;;;;;
308;RISEN;en;21/11/2008;1.881;1.5;90;Action, Horror, Mystery;;;
309;Dusk;en;01/01/2008;1.096;0;0;Horror;;;
310;Venom;en;16/09/2005;14.031;5.5;85;Horror, Thriller;;;
311;Zombie Holocaust;it;27/03/1980;8.942;5.4;84;Horror;;;
312;Zombie Flesh Eaters;it;25/08/1979;14.667;6.6;91;Horror;;;
313;Password;en;01/01/2005;0.6;0;90;Horror, Thriller;;;
314;Seven Mummies;en;18/07/2006;3.947;3.5;90;Action, Adventure, Horror, Thriller;;;
